"box_id","film_name","width_in","source","source_row","confidence","current_manufacturer","suggested_manufacturer","final_action","final_manufacturer","decision_reason","queue_reason"
"IL-3286","Skylite 20 XTRM","60","default_vinyl","1073","high","Vinyl","Avery Dennison","keep","Vinyl","Conservative hold for shorthand/ambiguous pattern.","Skylite appears under Avery Dennison in baseline"
"IL-3020","PR 40 Ext","60","default_vinyl","11","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3057","PR 20","36","default_vinyl","12","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3679","PR 70 Ext","36","default_vinyl","125","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-9059","PR 50","72","default_vinyl","129","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3065","PR 70","72","default_vinyl","13","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3448","PR 50","48","default_vinyl","155","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3676","PRX 20 Ext","72","default_vinyl","164","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3671","PRX 20 Ext","36","default_vinyl","165","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3466","PR 40","72","default_vinyl","202","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3143","PR 70","60","default_vinyl","26","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-1761","Ceramic 50","72","default_vinyl","266","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3601","PR 70","72","default_vinyl","273","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3146","PR 70","60","default_vinyl","29","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3405","PR 50","72","default_vinyl","311","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3251","PRX 20 Ext","72","default_vinyl","337","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3239","PR 70 Ext","72","default_vinyl","36","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3267","PR 70 EXT","60","default_vinyl","38","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3113","PR 70","36","default_vinyl","458","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-8149","PR 40","60","default_vinyl","460","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3335","PR 70","72","default_vinyl","47","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3080","PR","60","default_vinyl","551","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3406","PR 20 Ext","60","default_vinyl","56","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3422","PR 70","48","default_vinyl","60","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3428","PR 50","36","default_vinyl","62","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3441","PR 70","72","default_vinyl","63","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3447","PR 50","36","default_vinyl","65","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3444","PRX 40 EXT","72","default_vinyl","676","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3445","PR 40 EXT","72","default_vinyl","688","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3031","PRX 40 Ext","72","default_vinyl","870","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-2802","V33","60","default_vinyl","980","high","Vinyl","Llumar","move","Llumar","High-confidence suggestion auto-applied.","V33 maps to Llumar in baseline"
"IL-3051","PRX 40","36","default_vinyl","991","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3402","PR 50","48","default_vinyl","993","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3673","PRX 20 Ext","60","default_vinyl","996","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3674","PRX 20 Ext","60","default_vinyl","997","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3675","PRX 40 Ext","60","default_vinyl","998","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3677","PRX 40 Ext","60","default_vinyl","999","high","Vinyl","3M Solar","move","3M Solar","High-confidence suggestion auto-applied.","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline"
"IL-3002","S80 60"" (1of 2)","60","default_vinyl","1037","medium","Vinyl","Security","keep","Vinyl","Medium/low confidence kept conservative.","Safety/security-film style cue"
"IL-1366","Silver S20 8 Mil","60","default_vinyl","1223","medium","Vinyl","Security","keep","Vinyl","Medium/low confidence kept conservative.","Safety/security-film style cue"
"IL-6471","Feather Friendly Symmetry","36","default_vinyl","1261","medium","Vinyl","Fasara","keep","Vinyl","Medium/low confidence kept conservative.","Fasara-style naming cue"
"IL-2597","AV Clear 7Mil EXT","72","default_vinyl","1328","medium","Vinyl","Security","keep","Vinyl","Medium/low confidence kept conservative.","Safety/security-film style cue"
"IL-3312","NV 25","60","default_vinyl","304","medium","Vinyl","3M Solar","keep","Vinyl","Medium/low confidence kept conservative.","NV series appears in 3M Solar baseline (some Security overlap)"
"IL-5400","FROSTED CRYSTAL60""","60","default_vinyl","416","medium","Vinyl","Fasara","keep","Vinyl","Medium/low confidence kept conservative.","Fasara-style naming cue"
"IL-1381","Trident Clear 11mil","60","default_vinyl","418","medium","Vinyl","Security","keep","Vinyl","Medium/low confidence kept conservative.","Safety/security-film style cue"
"IL-9126","NV 35","72","default_vinyl","461","medium","Vinyl","3M Solar","keep","Vinyl","Medium/low confidence kept conservative.","NV series appears in 3M Solar baseline (some Security overlap)"
"IL-2967","SOL Ultrasafe WM560 Frost 5MIL","60","default_vinyl","9","medium","Vinyl","Security","keep","Vinyl","Medium/low confidence kept conservative.","Safety/security-film style cue"
"IL-5838","Tremco Spectrem 2 Clear","60","default_vinyl","1244","medium","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Sealant/caulk adjacent item"
"IL-3054","RN 07","48","default_vinyl","278","low","Vinyl","3M Solar","keep","Vinyl","Medium/low confidence kept conservative.","Likely tint-series shorthand; needs manual confirmation"
"IL-2324","RN 07","72","default_vinyl","368","low","Vinyl","3M Solar","keep","Vinyl","Medium/low confidence kept conservative.","Likely tint-series shorthand; needs manual confirmation"
"IL-3055","RN 07","60","default_vinyl","981","low","Vinyl","3M Solar","keep","Vinyl","Medium/low confidence kept conservative.","Likely tint-series shorthand; needs manual confirmation"
"IL-3337","DR 18 Cool","60","default_vinyl","982","low","Vinyl","3M Solar","keep","Vinyl","Medium/low confidence kept conservative.","Likely tint-series shorthand; needs manual confirmation"
"IL-3388","Fellers Oracal 651 Sky Blue","48","keyword_vinyl","1074","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3619","Fellers Oracal 751 Black Matte","48","keyword_vinyl","1075","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3258","WHITE CAULK","60","keyword_vinyl","1078","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3338","CLEAR CAULK SPECTRUM","60","keyword_vinyl","1079","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3724","Dow 995 White","60","keyword_vinyl","1080","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5294","DOW 795 Bronze","60","keyword_vinyl","1081","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3326","DOW 995 CORNING SILICONE BLACK","60","keyword_vinyl","1082","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5359","DOW 995 White","60","keyword_vinyl","1083","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-6060","Dow 995 White","60","keyword_vinyl","1084","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-6105","DOW 995 White Cart.","60","keyword_vinyl","1322","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-5983","DOW 995 Black","60","keyword_vinyl","1323","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-2602","GREY CAULK - STONEY","60","keyword_vinyl","1325","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3776","Black Caulk","60","keyword_vinyl","290","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3779","Coastal Black Caulk","60","keyword_vinyl","291","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
"IL-3876","Coastal Dow 995 Black","60","keyword_vinyl","332","high","Vinyl","Vinyl","keep","Vinyl","No manufacturer change suggested.","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)"
